playerid,yearid,stint,teamid,lgid,g,ab,r,h,b,v11,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
matheed01,1960,1,ML1,NL,153,548,108,152,19,7,39,124,7,3,111,113,3,2,4,6,8
maxwech01,1960,1,DET,AL,134,482,70,114,16,5,24,81,5,0,58,75,6,6,1,2,4
mayswi01,1960,1,SFN,NL,153,595,107,190,29,12,29,103,25,10,61,70,11,4,0,9,15
mazerbi01,1960,1,PIT,NL,151,538,58,147,21,5,11,64,4,0,40,50,15,1,4,8,9
mccovwi01,1960,1,SFN,NL,101,260,37,62,15,3,13,51,1,1,45,53,4,0,0,2,3
mcdougi01,1960,1,NYA,AL,119,337,54,87,16,4,8,34,2,4,38,45,0,3,7,2,4
mcmilro01,1960,1,CIN,NL,124,399,42,94,12,2,10,42,2,0,35,40,5,4,6,4,10
minosmi01,1960,1,CHA,AL,154,591,89,184,32,4,20,105,17,13,52,63,2,13,5,9,16
moonwa01,1960,1,LAN,NL,138,469,74,140,21,6,13,69,6,10,67,53,4,1,4,6,21
morynwa01,1960,2,SLN,NL,75,200,24,49,4,3,11,35,0,0,17,38,4,0,0,4,6
musiast01,1960,1,SLN,NL,116,331,49,91,17,1,17,63,1,1,41,34,7,2,0,4,5
